{'detection': 0.12018108367919922, 'recognition': 0.05564403533935547}
0.4740722904792794
0.42408413592949656
{'detection': 0.1136164665222168, 'recognition': 0.15139389038085938}
0.45600498960037766
0.5191353424534644
{'detection': 0.11897420883178711, 'recognition': 0.14197993278503418}
0.4997445221171838
{'detection': 0.11464881896972656, 'recognition': 0.05730271339416504}
0.5513484010170737
{'detection': 0.10090327262878418, 'recognition': 0.0628044605255127}
0.4235267855794415
{'detection': 0.11711573600769043, 'recognition': 0.05726504325866699}
0.41120935719006696
0.5694311299230911
{'detection': 0.12485051155090332, 'recognition': 0.14951539039611816}
0.48461260684733776
0.4343800773978235
{'detection': 0.10819721221923828, 'recognition': 0.1350717544555664}
0.5039675784389362
0.39104641121990685
{'detection': 0.12016582489013672, 'recognition': 0.13859343528747559}
0.4323195021333358
0.4703538902100605
0.2929254015145802
{'detection': 0.1180870532989502, 'recognition': 0.22711467742919922}
{'detection': 0.11878442764282227, 'recognition': 8.106231689453125e-06}
0.4342821792145446
0.5083167810495735
{'detection': 0.08386921882629395, 'recognition': 0.14104008674621582}
0.3869496365216188
0.34301534263275796
{'detection': 0.11823725700378418, 'recognition': 0.13410043716430664}
0.5003270935939802
0.36330424077897916
{'detection': 0.11675643920898438, 'recognition': 0.13783884048461914}
0.3914995553657693
0.43969724586631986
{'detection': 0.12842798233032227, 'recognition': 0.13740849494934082}
0.39656167605113213
0.3948647354953293
{'detection': 0.1362590789794922, 'recognition': 0.13970208168029785}
0.46642757040580374
0.33983007445477575
{'detection': 0.12618112564086914, 'recognition': 0.1455237865447998}
0.44962343707005825
{'detection': 0.12274289131164551, 'recognition': 0.06030535697937012}
0.384618652368375
0.3357759382325868
{'detection': 0.11918210983276367, 'recognition': 0.1390376091003418}
0.4557572124658176
0.3692864771461042
{'detection': 0.12553715705871582, 'recognition': 0.14406681060791016}
0.36892878759718506
{'detection': 0.12254214286804199, 'recognition': 0.061969757080078125}
0.5429298158170229
0.372214228736591
{'detection': 0.12258028984069824, 'recognition': 0.14290142059326172}
0.2928161618458206
{'detection': 0.10207176208496094, 'recognition': 0.05676889419555664}
0.29871917518848023
{'detection': 0.11362242698669434, 'recognition': 0.06200146675109863}
0.40675528627180535
0.3670891148877263
{'detection': 0.11433267593383789, 'recognition': 0.15692925453186035}
0.4118944966318313
0.33218356001180005
{'detection': 0.11109781265258789, 'recognition': 0.1447315216064453}
0.40758584357559413
0.3347127861923851
{'detection': 0.08700013160705566, 'recognition': 0.14046859741210938}
0.37961531905940776
0.35236623397134004
{'detection': 0.09995675086975098, 'recognition': 0.14068388938903809}
0.458897024167874
0.3612001945401508
{'detection': 0.08794903755187988, 'recognition': 0.13290095329284668}
0.39010652691187014
0.46559062889966135
{'detection': 0.08451962471008301, 'recognition': 0.13623785972595215}

Conclusion: 
Max detection & recognition time: 0.5s

# Update algorithm
{'detection': 4.192758560180664, 'recognition': 1.1444091796875e-05}
{'detection': 0.3181731700897217, 'recognition': 5.245208740234375e-06}
{'detection': 0.07549548149108887, 'recognition': 4.76837158203125e-06}
{'detection': 0.25959229469299316, 'recognition': 6.9141387939453125e-06}
{'detection': 0.26404428482055664, 'recognition': 6.198883056640625e-06}
{'detection': 0.3387727737426758, 'recognition': 6.4373016357421875e-06}
{'detection': 0.27344799041748047, 'recognition': 5.0067901611328125e-06}
{'detection': 0.3160867691040039, 'recognition': 6.4373016357421875e-06}
{'detection': 0.28468942642211914, 'recognition': 4.76837158203125e-06}
{'detection': 0.3438413143157959, 'recognition': 5.0067901611328125e-06}
{'detection': 0.3617696762084961, 'recognition': 5.0067901611328125e-06}
{'detection': 0.35855770111083984, 'recognition': 9.775161743164062e-06}
{'detection': 0.32646965980529785, 'recognition': 6.4373016357421875e-06}
{'detection': 0.26831674575805664, 'recognition': 4.76837158203125e-06}
{'detection': 0.0909731388092041, 'recognition': 6.198883056640625e-06}
{'detection': 0.08920955657958984, 'recognition': 7.62939453125e-06}
{'detection': 0.08819818496704102, 'recognition': 4.76837158203125e-06}
{'detection': 0.28374242782592773, 'recognition': 6.4373016357421875e-06}
{'detection': 0.25150132179260254, 'recognition': 6.67572021484375e-06}
{'detection': 0.09008502960205078, 'recognition': 7.152557373046875e-06}
{'detection': 0.26455211639404297, 'recognition': 4.76837158203125e-06}
{'detection': 0.2642097473144531, 'recognition': 6.198883056640625e-06}
{'detection': 0.524611234664917, 'recognition': 0.06040000915527344}
{'detection': 0.09876775741577148, 'recognition': 6.9141387939453125e-06}
{'detection': 0.5170361995697021, 'recognition': 4.5299530029296875e-06}
{'detection': 0.07915115356445312, 'recognition': 6.4373016357421875e-06}
{'detection': 0.253997802734375, 'recognition': 6.9141387939453125e-06}
{'detection': 0.25362181663513184, 'recognition': 6.67572021484375e-06}
{'detection': 0.08146548271179199, 'recognition': 0.06252765655517578}
{'detection': 0.10687494277954102, 'recognition': 4.76837158203125e-06}
{'detection': 0.07436227798461914, 'recognition': 5.9604644775390625e-06}
{'detection': 0.2541205883026123, 'recognition': 4.0531158447265625e-06}
{'detection': 0.06989836692810059, 'recognition': 6.9141387939453125e-06}
{'detection': 0.33975839614868164, 'recognition': 5.7220458984375e-06}
{'detection': 0.2527012825012207, 'recognition': 6.67572021484375e-06}
{'detection': 0.08439159393310547, 'recognition': 5.4836273193359375e-06}
{'detection': 0.08036327362060547, 'recognition': 7.152557373046875e-06}
{'detection': 0.25333452224731445, 'recognition': 4.5299530029296875e-06}
{'detection': 0.08138465881347656, 'recognition': 6.198883056640625e-06}
{'detection': 0.07727789878845215, 'recognition': 0.05925750732421875}
{'detection': 0.11105656623840332, 'recognition': 5.245208740234375e-06}
{'detection': 0.3445901870727539, 'recognition': 5.245208740234375e-06}
{'detection': 0.2565128803253174, 'recognition': 7.152557373046875e-06}
{'detection': 0.08064031600952148, 'recognition': 6.4373016357421875e-06}
{'detection': 0.07839846611022949, 'recognition': 5.4836273193359375e-06}
{'detection': 0.07669901847839355, 'recognition': 0.05512523651123047}
{'detection': 0.11203527450561523, 'recognition': 6.9141387939453125e-06}
{'detection': 0.08010554313659668, 'recognition': 4.76837158203125e-06}
{'detection': 0.07584166526794434, 'recognition': 6.198883056640625e-06}
{'detection': 0.07399654388427734, 'recognition': 6.9141387939453125e-06}
{'detection': 0.07240819931030273, 'recognition': 4.5299530029296875e-06}
{'detection': 0.07152295112609863, 'recognition': 6.198883056640625e-06}
{'detection': 0.07543158531188965, 'recognition': 6.198883056640625e-06}
{'detection': 0.07072734832763672, 'recognition': 5.245208740234375e-06}
{'detection': 0.25551915168762207, 'recognition': 6.198883056640625e-06}
{'detection': 0.07032442092895508, 'recognition': 6.9141387939453125e-06}
{'detection': 0.06945490837097168, 'recognition': 5.245208740234375e-06}
{'detection': 0.06774592399597168, 'recognition': 5.9604644775390625e-06}
{'detection': 0.07551193237304688, 'recognition': 0.05460047721862793}
{'detection': 0.10213541984558105, 'recognition': 5.9604644775390625e-06}
{'detection': 0.07240414619445801, 'recognition': 6.198883056640625e-06}
{'detection': 0.07226037979125977, 'recognition': 5.9604644775390625e-06}
{'detection': 0.0735619068145752, 'recognition': 6.9141387939453125e-06}
{'detection': 0.07092618942260742, 'recognition': 6.198883056640625e-06}
{'detection': 0.05543971061706543, 'recognition': 5.0067901611328125e-06}
{'detection': 0.07096076011657715, 'recognition': 6.4373016357421875e-06}
{'detection': 0.06031680107116699, 'recognition': 6.67572021484375e-06}
{'detection': 0.060172319412231445, 'recognition': 6.4373016357421875e-06}
{'detection': 0.2372286319732666, 'recognition': 4.5299530029296875e-06}
{'detection': 0.05777740478515625, 'recognition': 7.152557373046875e-06}
{'detection': 0.059958457946777344, 'recognition': 6.67572021484375e-06}
{'detection': 0.05902886390686035, 'recognition': 6.4373016357421875e-06}
{'detection': 0.057729482650756836, 'recognition': 7.152557373046875e-06}
{'detection': 0.06688523292541504, 'recognition': 7.867813110351562e-06}
{'detection': 0.05649232864379883, 'recognition': 7.152557373046875e-06}
{'detection': 0.0633237361907959, 'recognition': 6.9141387939453125e-06}
{'detection': 0.2459275722503662, 'recognition': 5.4836273193359375e-06}
{'detection': 0.06176018714904785, 'recognition': 5.7220458984375e-06}
{'detection': 0.058465003967285156, 'recognition': 7.3909759521484375e-06}
{'detection': 0.06408309936523438, 'recognition': 5.9604644775390625e-06}
{'detection': 0.06331348419189453, 'recognition': 6.198883056640625e-06}
{'detection': 0.06609106063842773, 'recognition': 6.4373016357421875e-06}
{'detection': 0.24680471420288086, 'recognition': 4.76837158203125e-06}
{'detection': 0.0578455924987793, 'recognition': 6.4373016357421875e-06}
{'detection': 0.06438803672790527, 'recognition': 5.9604644775390625e-06}
{'detection': 0.06416606903076172, 'recognition': 6.67572021484375e-06}
{'detection': 0.06770467758178711, 'recognition': 5.7220458984375e-06}
{'detection': 0.24744009971618652, 'recognition': 6.4373016357421875e-06}
{'detection': 0.06453514099121094, 'recognition': 6.198883056640625e-06}
{'detection': 0.06611013412475586, 'recognition': 0.05472207069396973}
{'detection': 0.1074216365814209, 'recognition': 6.67572021484375e-06}
{'detection': 0.07390403747558594, 'recognition': 6.198883056640625e-06}
{'detection': 0.06652188301086426, 'recognition': 6.4373016357421875e-06}
{'detection': 0.0656898021697998, 'recognition': 5.7220458984375e-06}
{'detection': 0.06584978103637695, 'recognition': 6.4373016357421875e-06}
{'detection': 0.24971652030944824, 'recognition': 4.291534423828125e-06}
{'detection': 0.06571817398071289, 'recognition': 5.4836273193359375e-06}
{'detection': 0.06795310974121094, 'recognition': 4.291534423828125e-06}
{'detection': 0.06962108612060547, 'recognition': 6.198883056640625e-06}
{'detection': 0.06676435470581055, 'recognition': 6.198883056640625e-06}
{'detection': 0.06725311279296875, 'recognition': 6.4373016357421875e-06}
{'detection': 0.2546818256378174, 'recognition': 6.67572021484375e-06}
{'detection': 0.06463503837585449, 'recognition': 5.7220458984375e-06}
{'detection': 0.06436300277709961, 'recognition': 6.198883056640625e-06}
{'detection': 0.06622934341430664, 'recognition': 5.7220458984375e-06}
{'detection': 0.07304501533508301, 'recognition': 6.4373016357421875e-06}
{'detection': 0.07006454467773438, 'recognition': 4.5299530029296875e-06}
{'detection': 0.06980776786804199, 'recognition': 5.4836273193359375e-06}
{'detection': 0.0776975154876709, 'recognition': 6.9141387939453125e-06}
{'detection': 0.07451200485229492, 'recognition': 6.67572021484375e-06}
{'detection': 0.0771796703338623, 'recognition': 7.3909759521484375e-06}
{'detection': 0.077362060546875, 'recognition': 6.4373016357421875e-06}
{'detection': 0.06756997108459473, 'recognition': 6.198883056640625e-06}
{'detection': 0.06755304336547852, 'recognition': 6.198883056640625e-06}
{'detection': 0.07651233673095703, 'recognition': 6.198883056640625e-06}
{'detection': 0.07427763938903809, 'recognition': 5.9604644775390625e-06}
{'detection': 0.07319116592407227, 'recognition': 0.0538630485534668}
{'detection': 0.09835028648376465, 'recognition': 6.9141387939453125e-06}
{'detection': 0.07318615913391113, 'recognition': 6.67572021484375e-06}
{'detection': 0.07236886024475098, 'recognition': 6.9141387939453125e-06}
{'detection': 0.06622719764709473, 'recognition': 6.198883056640625e-06}
{'detection': 0.06512808799743652, 'recognition': 6.198883056640625e-06}
{'detection': 0.07281899452209473, 'recognition': 6.9141387939453125e-06}
{'detection': 0.07740187644958496, 'recognition': 7.3909759521484375e-06}
{'detection': 0.07285714149475098, 'recognition': 6.4373016357421875e-06}
{'detection': 0.0673372745513916, 'recognition': 6.4373016357421875e-06}
{'detection': 0.07402682304382324, 'recognition': 4.291534423828125e-06}
{'detection': 0.07373237609863281, 'recognition': 0.05422329902648926}
{'detection': 0.10897445678710938, 'recognition': 6.67572021484375e-06}
{'detection': 0.07887959480285645, 'recognition': 6.4373016357421875e-06}
{'detection': 0.07515740394592285, 'recognition': 5.4836273193359375e-06}
{'detection': 0.07616782188415527, 'recognition': 5.7220458984375e-06}
{'detection': 0.06945633888244629, 'recognition': 4.76837158203125e-06}
